Attack_500_filtered_NoAnonymBodies_NoPT_NoPTeval_SW100-25
28/07/2021 10:23:16
Time,Epoch,dev
29/07/2021 11:11:50,18,40.000,100.000,40.000,46.000,76.000,54.000,68.000,20.000,14.000
29/07/2021 11:13:23,19,40.000,100.000,40.000,44.000,76.000,54.000,68.000,20.000,14.000
29/07/2021 11:14:56,20,40.000,100.000,42.000,46.000,76.000,56.000,68.000,20.000,14.000
Attack_50_eval_NoAnonymBodies_NoPT_NoPTeval_SW100-25
30/07/2021 08:13:54
Time,Epoch,dev,originalabstract,nertext3,nertext4,nertext7,presidio,spacy,word2vec_gen,manual_annotated
30/07/2021 08:14:39,1,13.333,8.000,10.000,10.000,10.000,8.000,10.000,6.000,6.000
30/07/2021 08:15:27,2,13.333,38.000,16.000,18.000,32.000,22.000,14.000,10.000,4.000
30/07/2021 08:16:14,3,40.000,50.000,24.000,28.000,54.000,38.000,28.000,18.000,10.000
30/07/2021 08:17:01,4,33.333,56.000,32.000,38.000,58.000,34.000,32.000,16.000,12.000
30/07/2021 08:17:48,5,66.667,68.000,38.000,40.000,68.000,42.000,34.000,24.000,16.000
30/07/2021 08:18:35,6,46.667,68.000,40.000,34.000,66.000,40.000,36.000,18.000,14.000
30/07/2021 08:19:22,7,60.000,70.000,50.000,44.000,72.000,50.000,42.000,18.000,14.000
30/07/2021 08:20:09,8,46.667,74.000,46.000,38.000,76.000,48.000,44.000,16.000,10.000
30/07/2021 08:20:57,9,66.667,74.000,50.000,42.000,68.000,58.000,46.000,24.000,14.000
30/07/2021 08:21:43,10,46.667,72.000,54.000,44.000,70.000,52.000,46.000,16.000,12.000
30/07/2021 08:22:30,11,53.333,72.000,46.000,42.000,74.000,50.000,46.000,18.000,10.000
30/07/2021 08:23:17,12,53.333,74.000,48.000,44.000,70.000,58.000,48.000,18.000,10.000
30/07/2021 08:24:03,13,53.333,74.000,50.000,46.000,68.000,56.000,52.000,18.000,10.000
30/07/2021 08:24:50,14,53.333,74.000,50.000,42.000,68.000,56.000,48.000,16.000,10.000
30/07/2021 08:25:37,15,53.333,74.000,50.000,42.000,68.000,56.000,52.000,16.000,10.000
30/07/2021 08:26:23,16,53.333,74.000,50.000,44.000,68.000,56.000,50.000,16.000,10.000
30/07/2021 08:27:10,17,53.333,74.000,50.000,42.000,68.000,56.000,52.000,16.000,10.000
30/07/2021 08:27:57,18,53.333,74.000,50.000,44.000,68.000,56.000,50.000,18.000,10.000
30/07/2021 08:28:44,19,53.333,74.000,50.000,44.000,68.000,56.000,52.000,18.000,10.000
30/07/2021 08:29:30,20,53.333,74.000,52.000,44.000,68.000,56.000,50.000,18.000,12.000
Attack_50_eval_AnonymBodies_PT_NoPTeval_SW100-25
30/07/2021 08:53:26
Time,Epoch,dev,originalabstract,nertext3,nertext4,nertext7,presidio,spacy,word2vec_gen,manual_annotated
30/07/2021 08:54:51,1,13.333,80.000,18.000,16.000,58.000,28.000,32.000,16.000,10.000
30/07/2021 08:56:21,2,33.333,94.000,38.000,36.000,74.000,48.000,56.000,20.000,16.000
30/07/2021 08:57:51,3,40.000,96.000,42.000,38.000,72.000,44.000,58.000,26.000,12.000
30/07/2021 08:59:21,4,46.667,98.000,52.000,38.000,80.000,56.000,70.000,28.000,16.000
30/07/2021 09:00:48,5,53.333,100.000,52.000,38.000,84.000,54.000,68.000,26.000,14.000
30/07/2021 09:02:16,6,66.667,100.000,50.000,52.000,84.000,52.000,74.000,22.000,12.000
30/07/2021 09:03:43,7,60.000,100.000,52.000,54.000,86.000,54.000,74.000,22.000,14.000
30/07/2021 09:05:11,8,53.333,100.000,52.000,48.000,84.000,54.000,72.000,22.000,12.000
30/07/2021 09:06:39,9,53.333,100.000,54.000,52.000,86.000,58.000,76.000,22.000,16.000
30/07/2021 09:08:06,10,53.333,100.000,54.000,48.000,86.000,56.000,80.000,22.000,12.000
30/07/2021 09:09:34,11,53.333,100.000,56.000,54.000,86.000,62.000,78.000,22.000,14.000
30/07/2021 09:11:01,12,60.000,100.000,56.000,52.000,86.000,58.000,76.000,22.000,14.000
30/07/2021 09:12:29,13,53.333,100.000,54.000,44.000,86.000,54.000,78.000,24.000,16.000
30/07/2021 09:13:57,14,60.000,100.000,56.000,34.000,84.000,54.000,80.000,20.000,16.000
30/07/2021 09:15:25,15,60.000,100.000,54.000,46.000,86.000,54.000,78.000,24.000,14.000
30/07/2021 09:16:52,16,60.000,100.000,54.000,46.000,86.000,54.000,78.000,24.000,16.000
30/07/2021 09:18:20,17,60.000,100.000,56.000,46.000,86.000,56.000,78.000,22.000,16.000
30/07/2021 09:19:48,18,60.000,100.000,56.000,46.000,86.000,54.000,78.000,22.000,16.000
30/07/2021 09:21:16,19,40.000,98.000,48.000,32.000,74.000,56.000,70.000,20.000,10.000
30/07/2021 09:22:44,20,40.000,98.000,40.000,32.000,76.000,48.000,64.000,22.000,18.000
Attack_50_eval_AnonymBodies_PT_originalabstractPTeval_SW100-25
30/07/2021 09:42:55
Time,Epoch,dev,originalabstract,nertext3,nertext4,nertext7,presidio,spacy,word2vec_gen,manual_annotated
